tiempo_s,senal_cruda,senal_filtrada,rectificada,envolvente,rms_movil
0.0,-0.0075972082986875,0.00644760282158581,0.00644760282158581,0.0,0.06554129345823823
0.0005,0.0566005942234881,0.06348535645051386,0.06348535645051386,0.0,0.06577934404669276
0.001,0.0761051103686795,0.08351285031244594,0.08351285031244594,0.0,0.06604459549480704
0.0015,0.0680923661445901,0.08027891289616804,0.08027891289616804,0.0,0.06614422971513814
0.002,0.0910990227134791,0.10304803107060054,0.10304803107060054,0.0,0.06614549709667827
0.0025,0.16850265694012,0.17392376333559054,0.17392376333559054,0.0,0.06618458436589217
0.003,0.2551505681360607,0.2555622963316667,0.2555622963316667,0.0,0.06629670538478599
0.0035,0.286188411457945,0.2875289438644546,0.2875289438644546,0.0,0.06643268905254308
0.004,0.2439312360796624,0.24753547240210777,0.24753547240210777,0.0,0.06651680457280398
0.0045,0.1687280804417916,0.17094372989523712,0.17094372989523712,0.0,0.06652698411481649
0.005,0.116137774279687,0.11496824235153984,0.11496824235153984,0.0,0.0665471028094574
0.0055,0.1132435582716787,0.11031766901417919,0.11031766901417919,0.0,0.06665609044067512
0.006,0.1471194903917412,0.1438865554035047,0.1438865554035047,0.0,0.06679653973993877
0.0065,0.1811677162301006,0.17740123797061225,0.17740123797061225,0.0,0.06687227219077475
0.007,0.1822988569702112,0.17790175444213985,0.17790175444213985,0.0,0.06688429849307799
0.0075,0.1422368922715728,0.1370891980458946,0.1370891980458946,0.0,0.06688632685092219
0.008,0.0792179007871664,0.07231875890513201,0.07231875890513201,0.0,0.06691600937880318
0.0085,0.0210055408737615,0.01280061730297341,0.01280061730297341,0.0,0.066999409189726
0.009,-0.0148243081377023,-0.021696665534252216,0.021696665534252216,0.0,0.06714253445573616
0.0095,-0.0318876824108189,-0.03735123912681487,0.03735123912681487,0.0,0.06728850235055678
0.01,-0.0530835422834241,-0.061288931323800255,0.061288931323800255,0.0005932197411244036,0.06735644895249891
0.0105,-0.0979938610382865,-0.11047048900019138,0.11047048900019138,0.0015554927472478737,0.06735866447518561
0.011,-0.149074430137159,-0.16070240428770383,0.16070240428770383,0.00251462926181731,0.06738736649546255
0.0115,-0.1507476801192115,-0.1571194359707567,0.1571194359707567,0.003470532956954646,0.06747590237322713
0.012,-0.0663506632357797,-0.07116947650979416,0.07116947650979416,0.004423108276866505,0.06755575381497682
0.0125,0.0616499663770143,0.051731582899552556,0.051731582899552556,0.005372260460188936,0.06757115615767066
0.013,0.1317047843669599,0.11707009454384137,0.11707009454384137,0.0063178955619819805,0.06758278475073695
0.0135,0.080392845378314,0.06787341794534277,0.06787341794534277,0.0072599204753674455,0.06766365898294296
0.014,-0.0473188928430132,-0.0542376860844921,0.0542376860844921,0.00819824295280362,0.06775331956327628
0.0145,-0.1376817295639698,-0.14303497880902627,0.14303497880902627,0.009132771626990974,0.067783306372142
0.015,-0.1172098551493789,-0.12603469179412563,0.12603469179412563,0.010063416031403163,0.06778568336788214
0.0155,-0.016160014342581,-0.02794963743963126,0.02794963743963126,0.01099008662043796,0.06778756136795051
0.016,0.0714322606728749,0.060601092702093684,0.060601092702093684,0.011912694789182988,0.0677982036936285
0.0165,0.0790193973558568,0.07074931927550286,0.07074931927550286,0.012831152892791544,0.06780095278104192
0.017,0.0186850789288113,0.011547307940841488,0.011547307940841488,0.013745374265463987,0.06783793491078047
0.0175,-0.0448885777480195,-0.05192470920995729,0.05192470920995729,0.014655273239030478,0.06808311665448159
0.018,-0.0604934161689769,-0.06714969905168247,0.06714969905168247,0.01556076516113101,0.06848323222036189
0.0185,-0.0336791614803668,-0.040553822141789646,0.040553822141789646,0.0164617664129888,0.06877162183454033
0.019,-0.0132797919747746,-0.02154220804948996,0.02154220804948996,0.017358194426773235,0.0688955488677284
0.0195,-0.0371091036360381,-0.04537460899428351,0.04537460899428351,0.018249967702548713,0.06895261836096524
0.02,-0.0887152388926282,-0.09386127743861969,0.09386127743861969,0.019137005824805788,0.06898730872830623
0.0205,-0.1110020688666297,-0.11327867758601352,0.11327867758601352,0.020019229478571175,0.06899047677592433
0.021,-0.0664224608171416,-0.06988112359425282,0.06988112359425282,0.020896560465093254,0.0690301168967461
0.0215,0.0219966911543682,0.015532192412715126,0.015532192412715126,0.02176892171709988,0.06921736162837341
0.022,0.0948873396647541,0.08849435385769393,0.08849435385769393,0.02263623731362552,0.06941997455419285
0.0225,0.1138741035062183,0.11077788182883833,0.11077788182883833,0.023498432494404895,0.06947658457996536
0.023,0.0854992663631804,0.08490713154182412,0.08490713154182412,0.024355433673830553,0.06947659888670872
0.0235,0.0350718876964436,0.034171099313088225,0.034171099313088225,0.02520716845447197,0.06948070229004301
0.024,-0.0255569153991648,-0.02801248593168012,0.02801248593168012,0.026053565640153913,0.06948529249144597
0.0245,-0.0954421039419472,-0.09881141214711435,0.09881141214711435,0.026894555248592095,0.06953034032867265
0.025,-0.1576727212198372,-0.16045208252250173,0.16045208252250173,0.02773006852358421,0.06957386389430703
0.0255,-0.1706306171455628,-0.17086255544161813,0.17086255544161813,0.02856003794675467,0.06958082991454592
0.026,-0.09973604494286,-0.09699742732284865,0.09699742732284865,0.029384397248851547,0.06958083220100851
0.0265,0.0355239426625499,0.03792518633558678,0.03792518633558678,0.030203081420594403,0.06958557652933757
0.027,0.1533590276102036,0.15173648289220532,0.15173648289220532,0.031016026723072132,0.06963061600735795
0.0275,0.1681914640994777,0.1646080328389999,0.1646080328389999,0.031823170697690195,0.06969958868276241
0.028,0.0703832600447662,0.07088060045159976,0.07088060045159976,0.03262445217566702,0.06972007950350827
0.0285,-0.0599843802884995,-0.05426080402931547,0.05426080402931547,0.03341981128707963,0.06972286314968941
0.029,-0.1297241237550286,-0.12472129480611636,0.12472129480611636,0.034209189469458785,0.06975320512407204
0.0295,-0.1180188755231282,-0.11826754640042145,0.11826754640042145,0.034992529475934314,0.06978480851211674
0.03,-0.0779992594069143,-0.080250872896193,0.080250872896193,0.03576977538293155,0.0698065084305884
0.0305,-0.0632604660851873,-0.06159768224474277,0.06159768224474277,0.03654087259741996,0.06982935835486663
0.031,-0.0714266168860949,-0.06577529212542413,0.06577529212542413,0.03730576786371534,0.06984583118647565
