tiempo_s,emg_mV
0.0,-0.007597208298687506
0.0005,0.056600594223488176
0.001,0.07610511036867958
0.0015,0.06809236614459016
0.002,0.09109902271347912
0.0025,0.16850265694012
0.003,0.2551505681360607
0.0035,0.28618841145794505
0.004,0.24393123607966247
0.0045000000000000005,0.16872808044179166
0.005,0.11613777427968709
0.0055,0.1132435582716787
0.006,0.1471194903917412
0.006500000000000001,0.18116771623010067
0.007,0.1822988569702112
0.0075,0.14223689227157285
0.008,0.0792179007871664
0.0085,0.021005540873761528
0.009000000000000001,-0.014824308137702386
0.0095,-0.03188768241081891
0.01,-0.053083542283424184
0.0105,-0.09799386103828653
0.011,-0.14907443013715907
0.0115,-0.15074768011921158
0.012,-0.06635066323577976
0.0125,0.06164996637701436
0.013000000000000001,0.13170478436695998
0.0135,0.08039284537831401
0.014,-0.047318892843013244
0.0145,-0.13768172956396982
0.015,-0.1172098551493789
0.0155,-0.016160014342581047
0.016,0.0714322606728749
0.0165,0.07901939735585689
0.017,0.018685078928811327
0.0175,-0.044888577748019534
0.018000000000000002,-0.0604934161689769
0.0185,-0.03367916148036686
0.019,-0.013279791974774642
0.0195,-0.03710910363603817
0.02,-0.08871523889262824
0.0205,-0.11100206886662971
0.021,-0.06642246081714168
0.021500000000000002,0.021996691154368225
0.022,0.0948873396647541
0.0225,0.11387410350621832
0.023,0.0854992663631804
0.0235,0.03507188769644369
0.024,-0.025556915399164826
0.0245,-0.09544210394194723
0.025,-0.15767272121983728
0.025500000000000002,-0.17063061714556288
0.026000000000000002,-0.09973604494286
0.0265,0.03552394266254992
0.027,0.1533590276102036
0.0275,0.16819146409947772
0.028,0.07038326004476628
0.0285,-0.05998438028849959
0.029,-0.12972412375502865
0.029500000000000002,-0.11801887552312829
0.03,-0.07799925940691431
0.0305,-0.06326046608518733
0.031,-0.07142661688609497
0.0315,-0.06291941122307353
0.032,-0.017838814560924506
0.0325,0.04038042836853339
0.033,0.07144835136990768
0.0335,0.055118214882874245
0.034,0.005170422258750252
0.0345,-0.039668148201477293
0.035,-0.03871271344220824
0.035500000000000004,0.021864935056501444
0.036000000000000004,0.11233669715725209
0.0365,0.1737954257390696
0.037,0.15857619280959837
0.0375,0.06509720246870067
0.038,-0.06049187360333813
0.0385,-0.1524661668265546
0.039,-0.16154259845834648
0.0395,-0.08198947223279612
0.04,0.04405892497039726
0.0405,0.15392021747626253
0.041,0.20472552462334956
0.0415,0.19101672217462665
0.042,0.13138143923719542
0.0425,0.049134665050458
0.043000000000000003,-0.035682758892679224
0.043500000000000004,-0.10809474518749126
0.044,-0.15790524812939127
0.0445,-0.1764478190775567
0.045,-0.15835821239436834
0.0455,-0.1113809031946718
0.046,-0.05752787955634096
0.0465,-0.01733884269053137
0.047,0.002612989381903989
0.0475,0.005023125857682864
0.048,-0.0034321265807881803
0.0485,-0.006924993882215041
0.049,0.014865121623053817
0.0495,0.06236616080659642
0.05,0.10565409664450177
0.0505,0.11513119310526014
0.051000000000000004,0.09790762392469529
0.051500000000000004,0.085711880611644
0.052000000000000005,0.08815312665730746
0.0525,0.08002844133039917
0.053,0.04188525812538801
0.0535,-0.008011940760781412
0.054,-0.03666296411648282
0.0545,-0.03584849364650239
0.055,-0.021527976880514867
0.0555,-0.004111548056282837
0.056,0.01949342995780425
0.0565,0.044300150173094424
0.057,0.04904970231243554
0.0575,0.022625999416903384
0.058,-0.013328984247573067
0.0585,-0.02531860832862957
0.059000000000000004,-0.008300943596415271
0.059500000000000004,0.008998476636880767
0.06,-0.0003439661554642511
0.0605,-0.029677321642494918
0.061,-0.043566625566634064
0.0615,-0.011369009107850441
0.062,0.06021613546873512
0.0625,0.12490355698297999
0.063,0.1319291673244984
0.0635,0.07028024339497563
0.064,-0.01882326120061254
0.0645,-0.0749769047387005
0.065,-0.07001235259704458
0.0655,-0.03090115039681312
0.066,-0.01035345019571391
0.0665,-0.0341045183034339
0.067,-0.07974524401379116
0.0675,-0.1061627494824639
0.068,-0.09655645812123637
0.0685,-0.06694763823519423
0.069,-0.03774466396420238
0.0695,-0.012458283661969168
0.07,0.008007969330512229
0.07050000000000001,0.0057381035370957945
0.07100000000000001,-0.03665037828101421
0.07150000000000001,-0.09775321327270263
